timestamp,x,y,z
2025-01-25 21:27:31.224392100,-131.037,217.608,189.954
2025-01-25 21:27:31.227428700,-130.918,217.628,189.953
2025-01-25 21:27:31.230541600,-130.799,217.648,189.952
2025-01-25 21:27:31.233522300,-130.681,217.669,189.951
2025-01-25 21:27:31.236451000,-130.562,217.689,189.95
2025-01-25 21:27:31.239486900,-130.443,217.709,189.95
2025-01-25 21:27:31.242384000,-130.325,217.73,189.949
2025-01-25 21:27:31.245480900,-130.206,217.75,189.948
2025-01-25 21:27:31.248525000,-130.087,217.771,189.948
2025-01-25 21:27:31.251428300,-129.969,217.791,189.947
2025-01-25 21:27:31.254446900,-129.85,217.812,189.946
2025-01-25 21:27:31.257384900,-129.731,217.833,189.946
2025-01-25 21:27:31.260413400,-129.613,217.853,189.945
2025-01-25 21:27:31.263568800,-129.494,217.874,189.944
2025-01-25 21:27:31.266432200,-129.375,217.895,189.944
2025-01-25 21:27:31.269378400,-129.256,217.916,189.943
2025-01-25 21:27:31.272484400,-129.138,217.936,189.943
2025-01-25 21:27:31.275431200,-129.019,217.957,189.942
2025-01-25 21:27:31.278417200,-128.9,217.978,189.942
2025-01-25 21:27:31.281560800,-128.782,217.999,189.941
2025-01-25 21:27:31.284405400,-128.663,218.02,189.941
2025-01-25 21:27:31.287442700,-128.544,218.041,189.94
2025-01-25 21:27:31.290412200,-128.426,218.062,189.94
2025-01-25 21:27:31.293373500,-128.307,218.083,189.939
2025-01-25 21:27:31.296525800,-128.188,218.105,189.939
2025-01-25 21:27:31.299432400,-128.069,218.126,189.938
2025-01-25 21:27:31.302375000,-127.951,218.147,189.938
2025-01-25 21:27:31.305493900,-127.832,218.168,189.938
2025-01-25 21:27:31.308412500,-127.713,218.19,189.937
2025-01-25 21:27:31.311407200,-127.595,218.211,189.937
2025-01-25 21:27:31.314522900,-127.476,218.233,189.937
2025-01-25 21:27:31.317411600,-127.357,218.254,189.936
2025-01-25 21:27:31.320398500,-127.239,218.276,189.936
2025-01-25 21:27:31.323500200,-127.12,218.297,189.936
2025-01-25 21:27:31.326355800,-127.001,218.319,189.935
2025-01-25 21:27:31.329443500,-126.883,218.34,189.935
2025-01-25 21:27:31.332497700,-126.764,218.362,189.935
2025-01-25 21:27:31.335369300,-126.645,218.384,189.934
2025-01-25 21:27:31.338623000,-126.526,218.405,189.934
2025-01-25 21:27:31.341430700,-126.408,218.427,189.934
2025-01-25 21:27:31.344372600,-126.289,218.449,189.934
2025-01-25 21:27:31.347547600,-126.17,218.471,189.933
2025-01-25 21:27:31.350418800,-126.052,218.492,189.933
2025-01-25 21:27:31.353442000,-125.933,218.514,189.933
2025-01-25 21:27:31.356430600,-125.814,218.536,189.933
2025-01-25 21:27:31.359360700,-125.695,218.558,189.933
2025-01-25 21:27:31.362421700,-125.577,218.58,189.933
2025-01-25 21:27:31.365526600,-125.458,218.602,189.932
2025-01-25 21:27:31.368410900,-125.339,218.624,189.932
2025-01-25 21:27:31.371627600,-125.221,218.646,189.932
2025-01-25 21:27:31.374377400,-125.102,218.668,189.932
2025-01-25 21:27:31.377390600,-124.983,218.69,189.932
2025-01-25 21:27:31.380554600,-124.864,218.713,189.932
2025-01-25 21:27:31.383482000,-124.746,218.735,189.932
2025-01-25 21:27:31.386395800,-124.627,218.757,189.932
2025-01-25 21:27:31.389439400,-124.508,218.779,189.932
2025-01-25 21:27:31.392349400,-124.39,218.801,189.932
2025-01-25 21:27:31.395429200,-124.271,218.824,189.932
2025-01-25 21:27:31.398534400,-124.152,218.846,189.932
2025-01-25 21:27:31.401480200,-124.033,218.868,189.932
2025-01-25 21:27:31.404492300,-123.915,218.891,189.932
2025-01-25 21:27:31.407388400,-123.796,218.913,189.932
2025-01-25 21:27:31.410350800,-123.677,218.935,189.932
2025-01-25 21:27:31.413611200,-123.558,218.958,189.932
2025-01-25 21:27:31.416586800,-123.44,218.98,189.932
2025-01-25 21:27:31.419444200,-123.321,219.002,189.932
2025-01-25 21:27:31.422682100,-123.202,219.025,189.932
2025-01-25 21:27:31.425429100,-123.083,219.047,189.932
2025-01-25 21:27:31.428443200,-122.964,219.07,189.932
2025-01-25 21:27:31.431697000,-122.846,219.092,189.932
2025-01-25 21:27:31.434456600,-122.727,219.115,189.932
2025-01-25 21:27:31.437491300,-122.608,219.137,189.932
2025-01-25 21:27:31.440407400,-122.489,219.16,189.932
2025-01-25 21:27:31.443381100,-122.37,219.183,189.932
2025-01-25 21:27:31.446512800,-122.252,219.205,189.932
2025-01-25 21:27:31.449545500,-122.133,219.228,189.933
2025-01-25 21:27:31.452409000,-122.014,219.25,189.933
2025-01-25 21:27:31.455491300,-121.895,219.273,189.933
2025-01-25 21:27:31.458440500,-121.776,219.296,189.933
2025-01-25 21:27:31.461383400,-121.657,219.318,189.933
2025-01-25 21:27:31.464594100,-121.538,219.341,189.933
2025-01-25 21:27:31.467448000,-121.42,219.364,189.934
2025-01-25 21:27:31.470440200,-121.301,219.386,189.934
2025-01-25 21:27:31.473416700,-121.182,219.409,189.934
2025-01-25 21:27:31.476361100,-121.063,219.432,189.934
2025-01-25 21:27:31.479492900,-120.944,219.455,189.934
2025-01-25 21:27:31.482427400,-120.825,219.477,189.935
2025-01-25 21:27:31.485392700,-120.706,219.5,189.935
2025-01-25 21:27:31.488389500,-120.587,219.523,189.935
2025-01-25 21:27:31.491374200,-120.468,219.546,189.935
2025-01-25 21:27:31.494344500,-120.349,219.568,189.936
2025-01-25 21:27:31.497527800,-120.23,219.591,189.936
2025-01-25 21:27:31.500357400,-120.111,219.614,189.936
2025-01-25 21:27:31.503372400,-119.992,219.637,189.936
2025-01-25 21:27:31.506341800,-119.873,219.66,189.937
2025-01-25 21:27:31.509412500,-119.754,219.683,189.937
2025-01-25 21:27:31.512485200,-119.635,219.705,189.937
2025-01-25 21:27:31.515560700,-119.516,219.728,189.937
2025-01-25 21:27:31.518417300,-119.397,219.751,189.938
2025-01-25 21:27:31.521496600,-119.277,219.774,189.938
2025-01-25 21:27:31.524479100,-119.158,219.797,189.938
2025-01-25 21:27:31.527393300,-119.039,219.82,189.939
2025-01-25 21:27:31.530507500,-118.92,219.843,189.939
2025-01-25 21:27:31.533471000,-118.801,219.866,189.939
2025-01-25 21:27:31.536385000,-118.682,219.889,189.939
2025-01-25 21:27:31.539532800,-118.562,219.912,189.94
2025-01-25 21:27:31.542376400,-118.443,219.935,189.94
2025-01-25 21:27:31.545421800,-118.324,219.958,189.94
2025-01-25 21:27:31.548558200,-118.205,219.981,189.941
2025-01-25 21:27:31.551406300,-118.085,220.004,189.941
2025-01-25 21:27:31.554455500,-117.966,220.027,189.941
2025-01-25 21:27:31.557428200,-117.847,220.05,189.942
2025-01-25 21:27:31.560367300,-117.728,220.073,189.942
2025-01-25 21:27:31.563537100,-117.608,220.096,189.942
2025-01-25 21:27:31.566432900,-117.489,220.119,189.942
2025-01-25 21:27:31.569369000,-117.37,220.142,189.943
2025-01-25 21:27:31.572467600,-117.25,220.165,189.943
