x,y
-18.3125,-24.5387
-18.4967,-24.5847
-18.6809,-24.6308
-19.0932,-24.6386
-19.2671,-24.626
-19.6692,-24.575
-21.5687,-24.8588
-21.7426,-24.8461
-21.9165,-24.8335
-22.0905,-24.8208
-22.2718,-24.8309
-22.4532,-24.841
-22.6346,-24.8511
-22.816,-24.8612
-22.9974,-24.8713
-23.1788,-24.8814
-23.3921,-24.8316
-23.7964,-24.7141
-24.2008,-24.5966
-24.6051,-24.4791
-25.0094,-24.3615
-25.4138,-24.244
-25.9772,-24.0426
-26.3496,-23.909
-26.7219,-23.7753
-27.0943,-23.6417
-27.4667,-23.5081
-27.8391,-23.3745
-28.2932,-23.2221
-28.9455,-22.9941
-29.3996,-22.8418
-29.8538,-22.6894
-30.5932,-22.4467
-31.1344,-22.2796
-31.6871,-22.0651
-32.2399,-21.8507
-32.7926,-21.6363
-33.3453,-21.4218
-33.6128,-21.2977
-34.2024,-21.0657
-34.7427,-20.8697
-35.2831,-20.6737
-35.5012,-20.5856
-36.0416,-20.3896
-36.5819,-20.1936
-36.8001,-20.1055
-37.2909,-19.9953
-37.4596,-19.9929
-37.9189,-19.8863
-38.0876,-19.884
-38.5469,-19.7773
-38.7156,-19.775
-39.2863,-19.5612
-39.8571,-19.3474
-41.0578,-18.996
-41.6771,-18.8533
-42.6823,-18.7622
-43.1552,-18.6786
-44.1893,-19.0557
-44.6448,-19.3552
-45.1004,-19.6548
-45.2634,-19.7834
-45.7189,-20.0829
-45.8819,-20.2115
-46.3731,-20.5122
-46.8643,-20.8129
-47.063,-20.9426
-47.4072,-21.1366
-47.8969,-21.395
-48.2411,-21.589
-48.8658,-21.7896
-49.4065,-21.9321
-49.9473,-22.0746
-50.6952,-22.2878
-51.236,-22.4303
-51.7767,-22.5728
-51.9469,-22.6019
-52.117,-22.6309
-52.2872,-22.66
-52.4573,-22.689
-52.8481,-22.7046
-53.2388,-22.7203
-53.6442,-22.6905
-54.0496,-22.6608
-54.2344,-22.6445
-54.6398,-22.6148
-55.0451,-22.5851
-55.2299,-22.5688
-55.5526,-22.4815
-55.8752,-22.3941
-56.1979,-22.3068
-56.5205,-22.2195
-56.8432,-22.1322
-57.1658,-22.0448
-57.3038,-21.9691
-57.4417,-21.8934
-57.5796,-21.8176
-57.7175,-21.7419
-58.0371,-21.565
-58.3567,-21.3881
-58.731,-21.1611
-59.1053,-20.9341
-59.4796,-20.7072
-59.8539,-20.4802
-60.0465,-20.3544
-60.2392,-20.2286
-60.3635,-20.063
-60.6002,-19.7534
-60.837,-19.4438
-61.0738,-19.1342
-61.3105,-18.8246
-61.5473,-18.515
-61.7862,-18.1216
-62.1246,-17.5639
-62.357,-17.1603
-62.6954,-16.6026
-63.0533,-16.0584
-63.4308,-15.5278
-63.7683,-15.2917
-64.1058,-15.0556
-64.614,-14.6665
-64.9967,-14.4179
-65.3794,-14.1693
-65.7621,-13.9207
-66.6829,-13.2839
-67.0762,-13.0498
-67.4694,-12.8157
-67.8626,-12.5816
-68.4764,-12.2661
-68.9042,-12.0471
-69.7368,-11.832
-70.8937,-11.5714
-71.6094,-11.4737
-72.6494,-11.3306
-73.3651,-11.2329
-74.0809,-11.1352
-74.8624,-11.0985
-75.644,-11.0617
-76.4256,-11.025
-77.2072,-10.9883
-77.9887,-10.9515
-79.1043,-10.9162
-79.747,-10.8812
-80.3897,-10.8461
-81.0324,-10.8111
-81.341,-10.7746
-81.9837,-10.7396
-82.6264,-10.7045
-83.2298,-10.7025
-83.8332,-10.7004
-84.4367,-10.6984
-85.0401,-10.6963
-85.6435,-10.6943
-86.2469,-10.6922
-86.4533,-10.675
-86.6597,-10.6577
-87.0629,-10.6156
-87.6631,-10.5487
-88.0664,-10.5066
-88.4697,-10.4645
-88.8903,-10.4289
-89.1139,-10.4181
-90.6434,-10.4847
-90.867,-10.4739
-91.0907,-10.4631
-91.3144,-10.4523
-91.7302,-10.4547
-92.146,-10.4572
